"CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"Anas_marecula",7.85,42.35,35.1,23.38,33.1454545454545,55.1833333333333,29.7625
"Branta_hylobadistes",28.1,113.65,100.18,62.0363636363636,77.8818181818182,140.95,89.7
"Branta_rhuax",29.5,133.781818181818,102.981818181818,56.5076923076923,105.875,181.172727272727,108.233333333333
"Cayaoa_bruneti",NA,NA,NA,32.4,68.5,161.5,70.4
"Chendytes_lawi",5.84,67.8230769230769,25.4666666666667,24.2,71.2674698795181,140.928571428571,68.24
"Chendytes_milleri",NA,69.5,31.2,NA,NA,127.2,59.1
"Chenonetta_finschi",NA,88.6571428571429,73.3,45.5,65.1,95.69,52.7
"Cnemiornis_calcitrans",NA,163.1,129.533333333333,68.7,150.966666666667,270.5,144.4
"Ptaiochen_pau",0.1,53.1176470588235,35.2571428571429,18.8,98.2944444444444,145.921428571429,83.0916666666667
"Shiriyanetta_hasegawai",11.9,87.6,49.55,36.1666666666667,72.35,144.8,62.9
"Thambetochen_chauliodous",NA,58.8518518518519,39.0875,19.45,99.05,154.46,85.4
"Anas_chathamica",NA,94.7,69.7,51.4,66.8,105.4,57.5
"Mergus_milleneri",NA,66.6,53.5,37.3,43,72.2,39.9
"Bambolinetta_lignitifila",NA,76.8,62,47,NA,NA,NA
"Annaka_Short-winged_Swan",NA,222,126.4,69.4,98.7,203.6,102.5
"Cnemiornis_gracilis",NA,134.6,104,52.1,126.2,225.1,118
