"SPL","FLIGHTLESS","REP","NO","SEX","CAPTIVE","COMPOSITE","LOC","CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"788","Cnemiornis_calcitrans",NA,"NHMUKP","3114","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,NA,275,NA
"789","Cnemiornis_calcitrans",NA,"NHMUKP","46586","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,NA,266,NA
"790","Cnemiornis_calcitrans",NA,"NHMUKP","46590","U",FALSE,TRUE,"New Zealand",NA,165.7,NA,NA,NA,NA,NA
"791","Cnemiornis_calcitrans",NA,"NHMUKP","46591","U",FALSE,TRUE,"New Zealand",NA,NA,137.4,NA,NA,NA,NA
"792","Cnemiornis_calcitrans",NA,"NHMUKP","46592","U",FALSE,TRUE,"New Zealand",NA,NA,NA,69.7,NA,NA,NA
"793","Cnemiornis_calcitrans",NA,"NHMUKP","46596","U",FALSE,TRUE,"New Zealand",NA,162.7,NA,NA,NA,NA,NA
"794","Cnemiornis_calcitrans",NA,"NHMUKP","A1517","U",FALSE,TRUE,"New Zealand",NA,160.9,NA,NA,NA,NA,NA
"795","Cnemiornis_calcitrans",NA,"NHMUKP","A1517","U",FALSE,TRUE,"New Zealand",NA,NA,127.2,NA,NA,NA,NA
"796","Cnemiornis_calcitrans",NA,"NHMUKP","A1517","U",FALSE,TRUE,"New Zealand",NA,NA,124,NA,NA,NA,NA
"797","Cnemiornis_calcitrans",NA,"NHMUKP","A1517","U",FALSE,TRUE,"New Zealand",NA,NA,NA,69.6,NA,NA,NA
"798","Cnemiornis_calcitrans",NA,"NHMUKP","A1517","U",FALSE,TRUE,"New Zealand",NA,NA,NA,66.8,NA,NA,NA
"799","Cnemiornis_calcitrans",NA,"NHMUKP","A1518","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,149.3,NA,NA
"800","Cnemiornis_calcitrans",NA,"NHMUKP","A1518","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,NA,NA,144.4
"801","Cnemiornis_calcitrans",NA,"NHMUKP","A2077","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,155,NA,NA
"802","Cnemiornis_calcitrans",NA,"NHMUKP","A2077","U",FALSE,TRUE,"New Zealand",NA,NA,NA,NA,148.6,NA,NA
"803","Branta_hylobadistes",NA,"BPBM","18515 or 419132","U",FALSE,FALSE,"Maui: Polipoli Cave",NA,116.7,102.9,61.7,78.4,142.9,NA
"804","Branta_hylobadistes",NA,"BPBM","Branta #9","U",FALSE,FALSE,"Maui: Polipoli Cave",27.7,113.2,98.4,57.9,78.4,138.9,88.6
"805","Branta_hylobadistes",NA,"USNMP","","U",FALSE,FALSE,"Maui: Hukihuki Cave",NA,NA,NA,56.1,73.4,NA,85.1
