"CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"Anas_marecula",2,6,5,5,11,12,16
"Branta_hylobadistes",4,6,5,11,11,6,8
"Branta_rhuax",1,11,11,13,12,11,12
"Cayaoa_bruneti",0,0,0,1,1,1,3
"Chendytes_lawi",5,13,3,2,83,21,15
"Chendytes_milleri",0,2,1,0,0,1,1
"Chenonetta_finschi",0,7,1,1,2,10,1
"Cnemiornis_calcitrans",0,3,3,3,3,2,1
"Ptaiochen_pau",1,17,7,4,18,14,12
"Shiriyanetta_hasegawai",2,1,2,3,2,1,1
"Thambetochen_chauliodous",0,27,8,6,12,5,15
"Anas_chathamica",0,16,24,20,18,15,22
"Mergus_milleneri",0,47,43,41,44,47,51
"Bambolinetta_lignitifila",0,1,1,1,0,0,0
"Annaka_Short-winged_Swan",0,1,1,1,1,1,1
"Cnemiornis_gracilis",0,23,20,19,25,26,34
