"CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"Aix_galericulata",18.4833333333333,69.28,59.6,45.18,42.0428571428571,65.76,38.44
"Aix_sponsa",19.9277777777778,70.8888888888889,59.1333333333333,46.2,41.225,64.3111111111111,35.39
"Anas_acuta",23.3333333333333,88.7,78,55.05,46.15,77.85,44
"Anas_aucklandica",10.82,54.5,39.5,28.1,44.1666666666667,65.2,33
"Anas_capensis",15,68.8,62.2,40.3,34.8,61.9,36.6
"Anas_castanea",17.2,69.8,60.2,42.4,38.7,62.3,36.9
"Anas_chlorotis",18,69.75,59,42.2,41.4,67.65,38.4
"Anas_crecca",16.625,58.6666666666667,50.88,36.82,33.2142857142857,48.98,30.08
"Anas_eatoni",17.8,70.2,62.3,42.3,37.6,61.7,33.5
"Anas_gibberifrons",17.34,70.85,61.9,43.56,39.38,64.7,36.34
"Anas_platyrhynchos",24.325,90.825,76.025,56.05,49.32,77.975,43.325
"Anas_zonorhyncha",22.53,92.05,80.4714285714286,58.2714285714286,50.8222222222222,80.5285714285714,45.1125
"Anser_albifrons",35.67,150.275,144.536842105263,84.978947368421,73.1447368421053,125.278947368421,74.865
"Anser_anser",31.925,157.95,149.65,NA,71.0666666666667,130.05,79.55
"Anser_caerulescens",38.7133333333333,147.444444444444,145.614285714286,82.7,73.125,130.544444444444,81.9111111111111
"Anser_canagicus",32.2,140.866666666667,134.55,78.45,72.4571428571429,123.1,69.225
"Anser_cygnoid",38.4333333333333,158.85,148.6,88.7,78.7,132.25,82.25
"Anser_erythropus",33.55,131.45,126.9,73.7,64.05,110.3,64.75
"Anser_fabalis",40.5333333333333,179.52,168.675,99.7,85.3714285714286,147.966666666667,88.8
"Anser_indicus",34.4333333333333,151.4,146.2,83.2,70.8666666666667,123.35,74.65
"Anser_rossii",32.0136363636364,126.586363636364,125.15,71.9285714285714,61.5083333333333,111.11,69.1863636363636
"Aythya_affinis",19.43,79.5,70.5222222222222,43.59,43.8,70.07,35.6888888888889
"Aythya_americana",22.59,90.01,79.3,49.06,47.84,78.0333333333333,39.78
"Aythya_australis",22.6,89.4,77.7,49.9,45.1,74,41.4
"Aythya_collaris",19.96,75.31,65.46,41.33,42.85,67.14,34.29
"Aythya_ferina",21.6285714285714,84.7307692307692,74.8307692307692,45.9153846153846,45.2538461538462,75.7923076923077,37.9307692307692
"Aythya_fuligula",19.7428571428571,79.0642857142857,68.8357142857143,42.3357142857143,42.94,68.0285714285714,34.05
"Aythya_marila",21.35,86.0724137931035,75.4133333333333,46.8166666666667,47.0533333333333,75.5620689655172,37.7066666666667
"Aythya_novaeseelandiae",16.8,70.3,59.6,37,41.1,64,34.4
"Aythya_nyroca",18.35,73.4571428571429,61.8285714285714,39.2,39.5375,64.3,31.9333333333333
"Aythya_valisineria",23.7,93.26,81.5,50.18,50.4090909090909,83.12,43.4
"Biziura_lobata",17.2846153846154,110.425,92.8416666666667,51.8545454545455,58.7769230769231,102.038461538462,48.925
"Branta_bernicla",30.2923076923077,122.91,116.372727272727,66.5727272727273,59.8461538461538,104.309090909091,61.6181818181818
"Branta_canadensis_canadensis",42.82,175.64,163.925,97.86,82.34,143.74,88.46
"Branta_canadensis_interior",44.2,173.7,NA,NA,85.8,149,NA
"Branta_canadensis_moffitti",42.2,180.633333333333,170.9,99.4333333333333,83.6666666666667,150.3,91.0333333333333
"Branta_hutchinsi_leucopareia",30.3,NA,NA,NA,64.9,NA,NA
"Branta_hutchinsi_minima",32.5692307692308,130,124.977777777778,73.0777777777778,62.9076923076923,112.222222222222,69.4333333333333
"Branta_hutchinsi_taverneri",36.92,151.125,145.25,85.15,71.88,128.625,78.275
"Branta_leucopsis",32.8,NA,NA,NA,72.1,NA,NA
"Branta_ruficollis",28.8,118.7,110.8,65.9,57.9666666666667,101.7,62.5
"Branta_sandvicensis",31.6235294117647,131.047368421053,126.3125,72.5733333333333,72.3352941176471,129.607142857143,83.1642857142857
"Bucephala_albeola",16.2666666666667,59.3666666666667,51.625,35.125,37.0666666666667,55.25,32.2
"Bucephala_clangula",22.0384615384615,75.5333333333333,66.3454545454545,45.7363636363636,46.58,67.19,37.2363636363636
"Bucephala_islandica",21.1,77.4,68.6,47.6,46.8,68,36.5
"Cairina_moschata",29.5428571428571,122.6,105.05,73.1714285714286,65.8285714285714,103.4,60.3428571428571
"Camptorhynchus_labradorius",22.4,NA,69.7,48.7,NA,NA,48.2
"Cereopsis_novaehollandiae",36.2333333333333,183.422222222222,184.822222222222,100.966666666667,92.2444444444444,162.411111111111,108.944444444444
"Chenonetta_jubata",22.6714285714286,86.475,78.8375,54.5375,50.95,86.15,51.2
"Chloephaga_melanoptera",27.0333333333333,137.5,139.766666666667,76.8666666666667,75.1666666666667,131.6,80.5666666666667
"Chloephaga_picta",34.2444444444444,158.933333333333,154.488888888889,90.7888888888889,87.35,152.5625,95.9142857142857
"Clangula_hyemalis",21.2,72.16,64.6363636363636,45,41.57,66.93,34.7090909090909
"Coscoroba_coscoroba",35,183.7,177.8,96.3,89.8,157.3,97.6
"Cygnus_atratus",41.3,241.416666666667,227,111.583333333333,88.2166666666667,170.75,100.083333333333
"Cygnus_buccinator",57.96,290.625,286,144.225,114.46,209.725,120.05
"Cygnus_columbianus",47.9815789473684,248.761904761905,248.357142857143,126.714285714286,100.525,187.380952380952,110.728571428571
"Cygnus_cygnus",53.05,264,261.75,133.7,105.55,194,118
"Cygnus_olor",46.375,291.818181818182,272.772727272727,134.9,105.845454545455,196.209090909091,111.218181818182
"Dendrocygna_autumnalis",24.6666666666667,100.2,102.533333333333,55.8333333333333,54.4,95.8666666666667,60.3666666666667
"Dendrocygna_bicolor",21.8454545454545,97.51,102.790909090909,51.85,50.1727272727273,87.3,55.2454545454545
"Dendrocygna_viduata",23,98.15,102.1,53.7,49.8,89.5,59.1
"Heteronetta_atricapilla",19.9,76,NA,NA,39.3,NA,NA
"Histrionicus_histrionicus",17.825,65.925,56.1666666666667,41.1333333333333,42.4375,69.5166666666667,37
"Hymenolaimus_malacorhynchos",20.7,83.5666666666667,74.4,49.3666666666667,48.8666666666667,85.3,50.5333333333333
"Lophodytes_cucullatus",20.5,64.4,53.2,38.9,37.5,58.4,30.9
"Malacorhynchus_membranaceus",18.1,66.08,60.8285714285714,39.9714285714286,36.7142857142857,64.1928571428572,35.6714285714286
"Mareca_americana",18.7,NA,NA,NA,44.9,NA,NA
"Mareca_falcata",21.2333333333333,80.9,67.1,48.1,42.6,69.3,36.7
"Mareca_penelope",20.6,84.1,71.6,52.2,43.95,74.7,40.3
"Mareca_strepera",22.55,88.1,76.85,54.25,47,75.6,40.45
"Marmaronetta_angustirostris",18.6333333333333,71.9,63.6333333333333,43.7333333333333,38.5,63.8,38.1
"Melanitta_americana",20.6818181818182,91.87,83.3909090909091,53.1181818181818,51.4545454545455,83.99,45.1636363636364
"Melanitta_deglandi",25.7266666666667,98.8,88.8294117647059,57.7176470588235,55.9125,92.9764705882353,49.7470588235294
"Melanitta_nigra",21.15,92.45,84.55,52.7,51.35,84.05,44.4
"Melanitta_perspicillata",21.8071428571429,82.5,75.0769230769231,48.6384615384615,48.6857142857143,80.5384615384615,43.5461538461538
"Melanitta_stejnegeri",25.7333333333333,96.4,87.2,56.2,55.1666666666667,90,43.6
"Merganetta_armata",13,59.25,51.45,31.4,36.25,64.45,37.1
"Mergellus_albellus",19.55,72.3,59.5,41.6,40.6,63.4,34.9
"Mergus_australis",18.0666666666667,69.6333333333333,55.8333333333333,39.4,43.6666666666667,71.8,40.6
"Mergus_merganser",27.3096774193548,91.7857142857143,77.4185185185185,55.7071428571429,50.8964285714286,84.6090909090909,48.1454545454545
"Mergus_serrator",26.3,87.8,73.5,51.4,45.6,82.5,46.3
"Mergus_squamatus",24.9,85.7,73.3,52.6,48.4,80,44.8
"Netta_erythrophthalma",20.66,86.54,74.425,46.6,45.04,73.45,37.9666666666667
"Netta_peposaca",24.05,94.4666666666667,82.1444444444444,53.575,47.6181818181818,79.4888888888889,43.6777777777778
"Netta_rufina",23.0666666666667,98.9083333333333,87.0416666666667,55.4,50.9166666666667,84.3636363636364,43.6
"Nettapus_auritus",19.4,69.4,60.1,45,41.3,64.5,38.8
"Nettapus_coromandelianus",15.1,56.04,48.46,31.68,28.6,46.3,24.92
"Oxyura_jamaicensis",14.65,69.9777777777778,60.71,34.72,39.72,62.59,33.29
"Plectropterus_gambensis",33.3666666666667,184.94,167.22,97.56,98.26,174.96,115.42
"Rhodonessa_caryophyllacea",21.1,98,85.6,NA,49.2,78.1,48.2
"Sarkidiornis_sylvicola",21.9,NA,NA,NA,53.2,NA,NA
"Sibirionetta_formosa",18.45,64.8,58.1,40.5,38.35,61.1,33.3
"Somateria_mollissima",27.09,108.37,94.96,65.02,63.6,100.58,51.76
"Spatula_clypeata",22.9,76.5,65.9333333333333,47.2666666666667,39.3333333333333,66.6,36.6333333333333
"Spatula_querquedula",20,NA,NA,NA,35.9,NA,NA
"Stictonetta_naevosa",20.4333333333333,89.2666666666667,78.1666666666667,50.9,50.5333333333333,82.2333333333333,46.7333333333333
"Tachyeres_brachypterus",28.92,124.433333333333,99.95,67.35,81,130.933333333333,68.2666666666667
"Tachyeres_leucocephalus",30.1,126.7,103,68.4,81.6,127.9,67.6
"Tachyeres_patachonicus",28.6,117.74,97.38,63.3,72,114.46,59.44
"Tachyeres_pteneres",30.1,128.676470588235,98.8411764705882,66.1117647058824,89,138.058823529412,71.5117647058824
"Tadorna_ferruginea",25.525,113.35,107.2,69.7,55.075,96.65,58.45
"Tadorna_tadorna",23.8875,105.6625,99.0375,63.1875,53.5,94.0625,55.475
"Thalassornis_leuconotus",18.7666666666667,86.3,84.5666666666667,40.3333333333333,41.3,69.9666666666667,39.2666666666667
"Anas_nesiotis",NA,48.2,36.5,24.9,39.4,62.6,32
