"CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"Aix_galericulata",6,5,5,5,7,5,5
"Aix_sponsa",18,9,9,10,16,9,10
"Anas_acuta",6,2,2,2,6,2,2
"Anas_aucklandica",5,2,1,1,3,1,1
"Anas_capensis",1,1,1,1,1,1,1
"Anas_castanea",1,1,1,1,1,1,1
"Anas_chlorotis",2,2,2,2,2,2,2
"Anas_crecca",8,6,5,5,7,5,5
"Anas_eatoni",1,1,1,1,1,1,1
"Anas_gibberifrons",5,4,5,5,5,5,5
"Anas_platyrhynchos",4,4,4,4,5,4,4
"Anas_zonorhyncha",10,8,7,7,9,7,8
"Anser_albifrons",40,20,19,19,38,19,20
"Anser_anser",4,2,2,0,3,2,2
"Anser_caerulescens",15,9,7,8,12,9,9
"Anser_canagicus",7,3,4,4,7,2,4
"Anser_cygnoid",3,2,1,1,3,2,2
"Anser_erythropus",2,2,2,2,2,2,2
"Anser_fabalis",6,5,4,4,7,6,6
"Anser_indicus",3,2,2,1,3,2,2
"Anser_rossii",22,22,22,21,24,20,22
"Aythya_affinis",10,10,9,10,10,10,9
"Aythya_americana",10,10,9,10,10,9,10
"Aythya_australis",1,1,1,1,1,1,1
"Aythya_collaris",10,10,10,10,10,10,10
"Aythya_ferina",7,13,13,13,13,13,13
"Aythya_fuligula",14,14,14,14,15,14,14
"Aythya_marila",10,29,30,30,30,29,30
"Aythya_novaeseelandiae",1,1,1,1,1,1,1
"Aythya_nyroca",8,7,7,7,8,6,6
"Aythya_valisineria",11,10,9,10,11,10,10
"Biziura_lobata",13,12,12,11,13,13,12
"Branta_bernicla",13,10,11,11,13,11,11
"Branta_canadensis_canadensis",5,5,4,5,5,5,5
"Branta_canadensis_interior",1,1,0,0,1,1,0
"Branta_canadensis_moffitti",3,3,3,3,3,3,3
"Branta_hutchinsi_leucopareia",2,0,0,0,2,0,0
"Branta_hutchinsi_minima",13,9,9,9,13,9,9
"Branta_hutchinsi_taverneri",5,4,4,4,5,4,4
"Branta_leucopsis",1,0,0,0,1,0,0
"Branta_ruficollis",3,1,1,1,3,1,1
"Branta_sandvicensis",17,19,16,15,17,14,14
"Bucephala_albeola",3,3,4,4,3,2,4
"Bucephala_clangula",13,9,11,11,10,10,11
"Bucephala_islandica",1,1,1,1,1,1,1
"Cairina_moschata",7,7,6,7,7,7,7
"Camptorhynchus_labradorius",1,0,1,1,0,0,1
"Cereopsis_novaehollandiae",9,9,9,9,9,9,9
"Chenonetta_jubata",7,8,8,8,8,8,8
"Chloephaga_melanoptera",3,3,3,3,3,3,3
"Chloephaga_picta",9,9,9,9,8,8,7
"Clangula_hyemalis",9,10,11,11,10,10,11
"Coscoroba_coscoroba",1,1,1,1,1,1,1
"Cygnus_atratus",6,6,6,6,6,6,6
"Cygnus_buccinator",5,4,4,4,5,4,4
"Cygnus_columbianus",38,21,21,21,36,21,21
"Cygnus_cygnus",4,2,2,2,2,1,1
"Cygnus_olor",12,11,11,10,11,11,11
"Dendrocygna_autumnalis",3,3,3,3,3,3,3
"Dendrocygna_bicolor",11,10,11,10,11,10,11
"Dendrocygna_viduata",2,2,2,2,1,2,1
"Heteronetta_atricapilla",1,1,0,0,1,0,0
"Histrionicus_histrionicus",8,8,6,6,8,6,5
"Hymenolaimus_malacorhynchos",3,3,3,3,3,3,3
"Lophodytes_cucullatus",1,1,1,1,1,1,1
"Malacorhynchus_membranaceus",15,10,14,14,14,14,14
"Mareca_americana",1,0,0,0,1,0,0
"Mareca_falcata",3,2,2,2,3,3,3
"Mareca_penelope",4,1,1,1,4,1,1
"Mareca_strepera",2,2,2,2,2,2,2
"Marmaronetta_angustirostris",3,3,3,3,3,3,3
"Melanitta_americana",11,10,11,11,11,10,11
"Melanitta_deglandi",15,17,17,17,16,17,17
"Melanitta_nigra",2,2,2,2,2,2,2
"Melanitta_perspicillata",14,13,13,13,14,13,13
"Melanitta_stejnegeri",3,1,1,1,3,1,1
"Merganetta_armata",2,2,2,2,2,2,2
"Mergellus_albellus",2,1,1,1,1,1,1
"Mergus_australis",3,3,3,3,3,2,2
"Mergus_merganser",31,28,27,28,28,11,11
"Mergus_serrator",3,1,1,1,2,1,1
"Mergus_squamatus",1,1,1,1,1,1,1
"Netta_erythrophthalma",5,5,4,3,5,2,3
"Netta_peposaca",10,9,9,8,11,9,9
"Netta_rufina",15,12,12,11,12,11,11
"Nettapus_auritus",1,1,1,1,1,1,1
"Nettapus_coromandelianus",5,5,5,5,4,5,5
"Oxyura_jamaicensis",10,9,10,10,10,10,10
"Plectropterus_gambensis",3,5,5,5,5,5,5
"Rhodonessa_caryophyllacea",1,1,1,0,1,1,1
"Sarkidiornis_sylvicola",1,0,0,0,1,0,0
"Sibirionetta_formosa",2,1,1,1,2,1,1
"Somateria_mollissima",10,10,10,10,10,10,10
"Spatula_clypeata",1,3,3,3,3,3,3
"Spatula_querquedula",1,0,0,0,1,0,0
"Stictonetta_naevosa",3,3,3,3,3,3,3
"Tachyeres_brachypterus",5,3,4,4,4,3,3
"Tachyeres_leucocephalus",1,1,1,1,1,1,1
"Tachyeres_patachonicus",5,5,5,5,6,5,5
"Tachyeres_pteneres",18,17,17,17,18,17,17
"Tadorna_ferruginea",4,2,2,2,4,2,2
"Tadorna_tadorna",8,8,8,8,8,8,8
"Thalassornis_leuconotus",3,3,3,3,3,3,3
"Anas_nesiotis",0,12,7,6,13,8,8
